,date,change,name
164,2012-08-29,1,삼성전자
165,2012-08-30,0,삼성전자
166,2012-08-31,1,삼성전자
167,2012-09-03,0,삼성전자
168,2012-09-04,0,삼성전자
169,2012-09-05,0,삼성전자
170,2012-09-06,1,삼성전자
171,2012-09-07,1,삼성전자
172,2012-09-10,0,삼성전자
173,2012-09-11,1,삼성전자
174,2012-09-12,1,삼성전자
175,2012-09-13,1,삼성전자
176,2012-09-14,1,삼성전자
177,2012-09-17,0,삼성전자
178,2012-09-18,0,삼성전자
179,2012-09-19,0,삼성전자
180,2012-09-20,0,삼성전자
181,2012-09-21,1,삼성전자
182,2012-09-24,1,삼성전자
183,2012-09-25,0,삼성전자
184,2012-09-26,0,삼성전자
185,2012-09-27,1,삼성전자
186,2012-09-28,1,삼성전자
187,2012-10-02,1,삼성전자
188,2012-10-04,0,삼성전자
189,2012-10-05,1,삼성전자
190,2012-10-08,1,삼성전자
191,2012-10-09,0,삼성전자
192,2012-10-10,0,삼성전자
193,2012-10-11,0,삼성전자
194,2012-10-12,0,삼성전자
195,2012-10-15,1,삼성전자
196,2012-10-16,1,삼성전자
197,2012-10-17,1,삼성전자
198,2012-10-18,1,삼성전자
199,2012-10-19,0,삼성전자
200,2012-10-22,1,삼성전자
201,2012-10-23,0,삼성전자
202,2012-10-24,0,삼성전자
203,2012-10-25,1,삼성전자
204,2012-10-26,0,삼성전자
205,2012-10-29,1,삼성전자
206,2012-10-30,0,삼성전자
207,2012-10-31,1,삼성전자
208,2012-11-01,0,삼성전자
209,2012-11-02,1,삼성전자
210,2012-11-05,1,삼성전자
211,2012-11-06,1,삼성전자
212,2012-11-07,1,삼성전자
213,2012-11-08,0,삼성전자
214,2012-11-09,0,삼성전자
215,2012-11-12,1,삼성전자
216,2012-11-13,1,삼성전자
217,2012-11-14,1,삼성전자
218,2012-11-15,0,삼성전자
219,2012-11-16,0,삼성전자
220,2012-11-19,1,삼성전자
221,2012-11-20,1,삼성전자
222,2012-11-21,1,삼성전자
223,2012-11-22,1,삼성전자
224,2012-11-23,1,삼성전자
225,2012-11-26,0,삼성전자
226,2012-11-27,1,삼성전자
227,2012-11-28,0,삼성전자
228,2012-11-29,1,삼성전자
229,2012-11-30,0,삼성전자
230,2012-12-03,1,삼성전자
231,2012-12-04,0,삼성전자
232,2012-12-05,1,삼성전자
233,2012-12-06,0,삼성전자
234,2012-12-07,1,삼성전자
235,2012-12-10,1,삼성전자
236,2012-12-11,0,삼성전자
237,2012-12-12,1,삼성전자
238,2012-12-13,1,삼성전자
239,2012-12-14,0,삼성전자
240,2012-12-17,0,삼성전자
241,2012-12-18,1,삼성전자
242,2012-12-20,0,삼성전자
243,2012-12-21,0,삼성전자
244,2012-12-24,1,삼성전자
245,2012-12-26,0,삼성전자
246,2012-12-27,1,삼성전자
247,2012-12-28,1,삼성전자
248,2013-01-02,1,삼성전자
249,2013-01-03,0,삼성전자
250,2013-01-04,0,삼성전자
251,2013-01-07,0,삼성전자
252,2013-01-08,0,삼성전자
253,2013-01-09,0,삼성전자
254,2013-01-10,1,삼성전자
255,2013-01-11,1,삼성전자
256,2013-01-14,1,삼성전자
257,2013-01-15,0,삼성전자
